Date,Content,Content link,Influencer,Type,Tags,Estimated cost,CPM,Subscribers,Region,Promotion type,Engagement rate,Views,Likes,Comments,Brand,Like rate,Comment rate,Calculated ER,Views per 1K subscribers,Cost per 1K views,Views per dollar,Creator tier,Month,Content theme
2025-04-27,"B52 Pro, Leads to a Better Training Result.",https://www.youtube.com/watch?v=8sFPoWl-tP0,MAJOR FITNESS,"Workout,Home,Health,Challenge","homegym,garagegym,fitness,workout,majorfitness",96,27.0,26000,美国,Suspected,0.0833,24,2,0,Major Fitness,0.08333333333333333,0.0,0.08333333333333333,0.923076923076923,4000.0,0.25,Micro,2025-04,Home Gym / Garage Gym
2025-04-25,They removed the ACFT… #military,https://www.youtube.com/shorts/IliAZM_HDp4,Christopher Kellum,"Health,Fitness,Military,Fashion","health,fitness,army fitness,kellum fitness,75hard",50,27.0,86700,美国,Suspected,0.0689,1088,15,6,Major Fitness,0.013786764705882353,0.0055147058823529415,0.019301470588235295,12.549019607843137,45.95588235294118,21.76,Mid,2025-04,Strength / Training
2025-04-25,Major Fitness F35 Pro Series Review: Worth the Upgrade? Wall-Mount Folding Squat Rack Comparison!,https://www.youtube.com/watch?v=2rpFOxy2CL0,Ben Barker Fitness,"Workout,Health","fitness,gym,workout,health,lifestyle",82,27.0,12100,美国,Sponsored,0.174,477,13,7,Major Fitness,0.027253668763102725,0.014675052410901468,0.041928721174004195,39.421487603305785,171.9077568134172,5.817073170731708,Micro,2025-04,Equipment Review
2025-04-25,You’re NOT Getting What You Think (The Problem With Food Labels),https://www.youtube.com/watch?v=Olomts5ywJA,REVIVAL Fitness,"Health,Fitness","revivalfitness,religion,building,health,gym",1967,27.0,65400,美国,Suspected,0.2228,8453,363,152,Major Fitness,0.042943333727670646,0.01798178161599432,0.06092511534366497,129.25076452599387,232.69845025434756,4.297407219115404,Mid,2025-04,Strength / Training
2025-04-24,Pushing Myself Harder in Training by Racing,https://www.youtube.com/watch?v=HK-Wt-6phOk,Gwen Jorgensen,"Health,Food,Technology","olympic trials,gwen jorgensen,marathon training,gwen jorgensen nutrition,global triathlon network",155,27.0,55000,美国,Suspected,0.0572,6079,218,13,Major Fitness,0.035861161375226186,0.002138509623293305,0.037999670998519496,110.52727272727273,25.49761473926633,39.21935483870968,Mid,2025-04,Strength / Training
2025-04-23,I May Have to Quit Lifting... (My Injury Explained),https://www.youtube.com/watch?v=RKF5ENkFCLE,REVIVAL Fitness,"Health,Fitness","revivalfitness,religion,building,health,gym",1967,27.0,65400,美国,Suspected,0.3129,20740,719,577,Major Fitness,0.034667309546769526,0.027820636451301832,0.06248794599807136,317.125382262997,94.84088717454195,10.543975597356381,Mid,2025-04,Strength / Training
2025-04-22,Major Fitness Drone2 Smith Machine - All in One Home Gym Cage Worth Buying Honest Reviews,https://www.youtube.com/watch?v=FV2jtniZUQg,AUTO MT,Vehicle,"automt,cars,vehicle,upcomingcars,car",19,27.0,2130,美国,Mentioned,0.0,104,0,0,Major Fitness,0.0,0.0,0.0,48.82629107981221,182.69230769230768,5.473684210526316,Nano,2025-04,Home Gym / Garage Gym
2025-04-18,6 Fitness Tips to Defeat the Dad Bod,https://www.youtube.com/watch?v=OCV01pwu70E,Ben Barker Fitness,"Workout,Health","fitness,gym,workout,health,lifestyle",82,27.0,12100,美国,Suspected,0.1574,108,7,1,Major Fitness,0.06481481481481481,0.009259259259259259,0.07407407407407407,8.925619834710744,759.2592592592594,1.3170731707317074,Micro,2025-04,Strength / Training
2025-04-17,How to Assemble the Major Fitness Functional Trainer | Full Build & Real Home Gym Test,https://www.youtube.com/watch?v=-Ki8v281rHs,Legally Swole,"Fitness,Health","fitness,health,home workout,workout,multi gym",98,27.0,14000,美国,Mentioned,0.2166,314,8,6,Major Fitness,0.025477707006369428,0.01910828025477707,0.044585987261146494,22.42857142857143,312.10191082802544,3.204081632653061,Micro,2025-04,Home Gym / Garage Gym
2025-04-16,They'll NEVER Tell You This About Steroids (Secrets Exposed),https://www.youtube.com/watch?v=NE5q-bfc7pw,REVIVAL Fitness,"Health,Fitness","revivalfitness,religion,building,health,gym",1967,27.0,65400,美国,Suspected,0.2048,27407,693,492,Major Fitness,0.0252855110008392,0.017951618199729995,0.0432371292005692,419.06727828746176,71.76998577005875,13.9334011184545,Mid,2025-04,Strength / Training
