Brand,Influencer,collaborations,subscribers,total_views,avg_views,median_views,avg_engagement,avg_calculated_er,total_likes,total_comments,estimated_cost,avg_cost_per_1k_views,avg_views_per_1k_subscribers,view_score,engagement_score,efficiency_score,repeat_score,Opportunity score,Competitor overlap
Major Fitness,Aviator’s Garage,4,3730,3802,950.5,710.0,0.093325,0.021293108033332498,50,24,340,116.67867082141208,254.82573726541557,0.2391304347826087,0.5108695652173914,0.7065217391304348,0.7771739130434783,53.15217391304349,True
Major Fitness,Garage Gym Life,3,58800,13066,4355.333333333333,4293.0,0.08176666666666667,0.04561105417100586,542,52,339,26.635227112424953,74.0702947845805,0.532608695652174,0.4673913043478261,0.42391304347826086,0.7010869565217391,52.28260869565218,True
RITFIT,NoFate247,4,26100,6765,1691.25,806.0,0.121025,0.03954792318875638,200,92,428,122.33147874477085,64.79885057471265,0.33695652173913043,0.6847826086956522,0.34782608695652173,0.7771739130434783,51.46739130434783,True
Major Fitness,Ben Barker Fitness,28,12100,12141,433.60714285714283,337.5,0.18423571428571428,0.04962330813174052,331,103,2296,392.4123070647344,35.83530106257379,0.15217391304347827,0.8804347826086957,0.25,0.9239130434782609,51.30434782608696,False
Major Fitness,Joey Suggs,1,66000,12857,12857.0,12857.0,0.047,0.021778019755775,244,36,171,13.300147779419772,194.8030303030303,0.8043478260869565,0.18478260869565216,0.6739130434782609,0.2826086956521739,51.24999999999999,True
Major Fitness,PictureFit,1,1330000,60283,60283.0,60283.0,0.0698,0.0440754441550685,2485,172,420,6.967138330872717,45.32556390977444,0.9565217391304348,0.3695652173913043,0.30434782608695654,0.2826086956521739,51.19565217391304,False
RITFIT,VICTORIA XAVIER,1,639000,24310,24310.0,24310.0,0.0937,0.0647881530234471,1497,78,2573,105.84121760592348,38.04381846635368,0.8586956521739131,0.5217391304347826,0.2608695652173913,0.2826086956521739,50.97826086956522,False
Major Fitness,Garage Gym Reviews,1,606000,47640,47640.0,47640.0,0.052,0.0260915197313182,1106,137,2231,46.8303946263644,78.61386138613861,0.9347826086956522,0.21739130434782608,0.45652173913043476,0.2826086956521739,50.54347826086957,False
Major Fitness,Hybrid Resistance,3,60200,11941,3980.3333333333335,4431.0,0.08410000000000001,0.029548836413897068,285,74,495,43.29682065108176,66.11849390919157,0.5108695652173914,0.4782608695652174,0.358695652173913,0.7010869565217391,50.27173913043479,True
Major Fitness,Reek Jones,3,35800,8974,2991.3333333333335,1837.0,0.07523333333333333,0.05372101137813743,457,19,447,87.88834558799509,83.55679702048417,0.45652173913043476,0.42391304347826086,0.4673913043478261,0.7010869565217391,50.0,False
RITFIT,Sean and Sierra,1,448000,6380,6380.0,6380.0,0.1738,0.0948275862068965,549,56,364,57.05329153605015,14.241071428571429,0.6521739130434783,0.8478260869565217,0.14130434782608695,0.2826086956521739,49.94565217391305,False
RITFIT,Kali Muscle,2,3930000,42730,21365.0,21365.0,0.0802,0.04139720482685895,1293,208,1896,112.64340246229982,5.4363867684478375,0.8478260869565217,0.45652173913043476,0.03260869565217391,0.6086956521739131,49.836956521739125,False
RITFIT,Hybrid Resistance,1,60600,4219,4219.0,4219.0,0.133,0.0433752073951173,141,42,171,40.530931500355535,69.62046204620462,0.5217391304347826,0.75,0.391304347826087,0.2826086956521739,49.836956521739125,True
Major Fitness,IFBBPRO AMANDA MACHADO,1,8720,5310,5310.0,5310.0,0.0452,0.0045197740112994,0,24,311,58.56873822975518,608.9449541284404,0.6304347826086957,0.16304347826086957,0.8369565217391305,0.2826086956521739,49.56521739130435,False
Major Fitness,Sophia Rose,1,64700,4671,4671.0,4671.0,0.1133,0.0978377221151787,449,8,149,31.89895097409548,72.19474497681608,0.5652173913043478,0.6630434782608695,0.41304347826086957,0.2826086956521739,49.51086956521739,False
Major Fitness,The Movement System,1,176000,5203,5203.0,5203.0,0.1438,0.0676532769556025,308,44,206,39.59254276379012,29.5625,0.6195652173913043,0.782608695652174,0.22826086956521738,0.2826086956521739,49.510869565217384,False
Major Fitness,Usawa Fitness Garage Gym Reviews,1,10000,1008,1008.0,1008.0,0.2272,0.0575396825396825,39,19,58,57.53968253968254,100.8,0.25,0.9239130434782609,0.5108695652173914,0.2826086956521739,49.02173913043478,True
Major Fitness,Jen Heward,1,412000,4675,4675.0,4675.0,0.1846,0.0902673796791443,373,49,18,3.8502673796791447,11.347087378640778,0.5760869565217391,0.8913043478260869,0.10869565217391304,0.2826086956521739,47.934782608695656,False
Major Fitness,Natalie Yoo,4,7710,2085,521.25,332.0,0.11750000000000001,0.05020085340947152,81,12,284,176.98506717479032,67.60700389105058,0.16304347826086957,0.6739130434782609,0.3804347826086957,0.7771739130434783,46.79347826086957,False
RITFIT,Create 208,1,78800,8837,8837.0,8837.0,0.0479,0.0336086907321489,283,14,198,22.405793821432614,112.14467005076142,0.717391304347826,0.1956521739130435,0.532608695652174,0.2826086956521739,45.38043478260869,False
RITFIT,Aviator’s Garage,1,3730,428,428.0,428.0,0.1822,0.0350467289719626,8,7,64,149.53271028037383,114.74530831099196,0.14130434782608695,0.8586956521739131,0.5543478260869565,0.2826086956521739,45.21739130434783,True
RITFIT,Garage Gym Life,1,58900,2341,2341.0,2341.0,0.1487,0.0640751815463477,128,22,142,60.657838530542506,39.74533106960951,0.40217391304347827,0.8043478260869565,0.2717391304347826,0.2826086956521739,44.61956521739131,True
Major Fitness,The Muscle Hustler,1,5270,1077,1077.0,1077.0,0.0873,0.0371402042711234,34,6,142,131.8477251624884,204.3643263757116,0.2826086956521739,0.5,0.6956521739130435,0.2826086956521739,44.02173913043478,False
Major Fitness,Richard Gozon,1,164,2112,2112.0,2112.0,0.017,0.0085227272727272,16,2,81,38.35227272727273,12878.048780487805,0.358695652173913,0.07608695652173914,0.9891304347826086,0.2826086956521739,43.04347826086956,False
Major Fitness,Builds by Maz,1,21400,3219,3219.0,3219.0,0.0609,0.0329294812053432,96,10,210,65.23765144454799,150.42056074766356,0.4782608695652174,0.2826086956521739,0.6086956521739131,0.2826086956521739,42.28260869565217,False
Major Fitness,Christopher Kellum,25,86700,51914,2076.56,1469.0,0.06616,0.029857314715507302,1122,143,1250,40.808215867447196,23.951095732410614,0.34782608695652173,0.31521739130434784,0.18478260869565216,0.907608695652174,41.08695652173913,False
RITFIT,ACHV PEAK,1,287000,12417,12417.0,12417.0,0.0326,0.0217443827011355,255,15,103,8.295079326729484,43.26480836236934,0.7934782608695652,0.13043478260869565,0.2826086956521739,0.2826086956521739,39.78260869565217,False
RITFIT,Cathy Ding,1,22600,648,648.0,648.0,0.2315,0.0787037037037037,40,11,256,395.0617283950617,28.672566371681416,0.17391304347826086,0.9347826086956522,0.21739130434782608,0.2826086956521739,39.673913043478265,False
Major Fitness,NQR Media,2,33600,149,74.5,74.5,0.769,0.14919893190921218,11,7,62,513.9074321317312,2.2172619047619047,0.06521739130434782,0.9891304347826086,0.021739130434782608,0.6086956521739131,39.402173913043484,False
Major Fitness,Case.Baseball,4,14200,4093,1023.25,1102.5,0.05155,0.03427074906763172,138,7,764,219.13353266853682,72.05985915492957,0.2608695652173913,0.20652173913043478,0.40217391304347827,0.7771739130434783,38.58695652173913,False
Major Fitness,Fizzness Shizzness,4,12500,4473,1118.25,911.5,0.017825,0.012612017385836801,47,9,188,56.26958581942039,89.46000000000001,0.29347826086956524,0.08695652173913043,0.4782608695652174,0.7771739130434783,38.47826086956522,False
RITFIT,Brett Maverick,1,1810000,15221,15221.0,15221.0,0.0568,0.0348860127455489,494,37,1004,65.961500558439,8.40939226519337,0.8260869565217391,0.25,0.06521739130434782,0.2826086956521739,38.31521739130435,False
RITFIT,Clark Bartram,1,17500,2250,2250.0,2250.0,0.0538,0.0177777777777777,31,9,99,44.0,128.57142857142856,0.3804347826086957,0.22826086956521738,0.5869565217391305,0.2826086956521739,37.44565217391305,False
RITFIT,Aitza Fitness,1,286000,3304,3304.0,3304.0,0.099,0.0499394673123486,147,18,140,42.3728813559322,11.552447552447552,0.4891304347826087,0.5652173913043478,0.11956521739130435,0.2826086956521739,37.44565217391304,False
RITFIT,Life With Nathalie,1,2120,58,58.0,58.0,2.7241,0.396551724137931,8,15,61,1051.7241379310344,27.358490566037737,0.043478260869565216,1.0,0.20652173913043478,0.2826086956521739,37.119565217391305,False
RITFIT,Teriana Jacobs,1,312000,2232,2232.0,2232.0,0.1358,0.0873655913978494,183,12,79,35.39426523297491,7.153846153846154,0.3695652173913043,0.7608695652173914,0.05434782608695652,0.2826086956521739,37.119565217391305,False
Major Fitness,Legally Swole,1,14000,314,314.0,314.0,0.2166,0.0445859872611464,8,6,98,312.10191082802544,22.42857142857143,0.13043478260869565,0.9130434782608695,0.17391304347826086,0.2826086956521739,36.73913043478261,False
Major Fitness,Builders Blueprint,1,352000,2272,2272.0,2272.0,0.1259,0.0545774647887323,106,18,3368,1482.394366197183,6.454545454545454,0.391304347826087,0.7065217391304348,0.043478260869565216,0.2826086956521739,36.141304347826086,False
Major Fitness,Garage Gym Gainz,1,6740,1025,1025.0,1025.0,0.0585,0.0321951219512195,30,3,96,93.65853658536584,152.07715133531158,0.2717391304347826,0.266304347826087,0.6195652173913043,0.2826086956521739,35.951086956521735,False
RITFIT,Science Based Fitness,1,4390,1513,1513.0,1513.0,0.0112,0.0112359550561797,17,0,79,52.21414408460013,344.6469248291572,0.31521739130434784,0.06521739130434782,0.75,0.2826086956521739,35.48913043478261,True
Major Fitness,NoFate247,1,26000,1489,1489.0,1489.0,0.0685,0.038280725319006,52,5,142,95.36601746138348,57.26923076923077,0.30434782608695654,0.358695652173913,0.33695652173913043,0.2826086956521739,32.17391304347826,True
Major Fitness,The Review Depot,1,369,205,205.0,205.0,0.0,0.0,0,0,47,229.26829268292684,555.5555555555555,0.10869565217391304,0.021739130434782608,0.8043478260869565,0.2826086956521739,29.565217391304348,False
Major Fitness,THESARADAS,1,41900,873,873.0,873.0,0.0767,0.0767468499427262,67,0,65,74.45589919816724,20.83532219570405,0.20652173913043478,0.44565217391304346,0.16304347826086957,0.2826086956521739,27.065217391304348,False
Major Fitness,The Dad Edge,1,14200,139,139.0,139.0,0.1079,0.0431654676258992,5,1,37,266.18705035971226,9.788732394366198,0.09782608695652174,0.6304347826086957,0.08695652173913043,0.2826086956521739,26.521739130434785,False
Major Fitness,Coach Bronson,1,11400,103,103.0,103.0,0.1068,0.1067961165048543,11,0,96,932.0388349514564,9.035087719298245,0.07608695652173914,0.6195652173913043,0.07608695652173914,0.2826086956521739,25.32608695652174,False
Major Fitness,Foosh_Fit,1,11900,882,882.0,882.0,0.0079,0.0079365079365079,7,0,120,136.0544217687075,74.11764705882352,0.21739130434782608,0.05434782608695652,0.43478260869565216,0.2826086956521739,24.40217391304348,False
Major Fitness,Top Rated,1,2640,297,297.0,297.0,0.0067,0.0067340067340067,2,0,49,164.98316498316498,112.5,0.11956521739130435,0.043478260869565216,0.5434782608695652,0.2826086956521739,23.91304347826087,False
RITFIT,GearChase (GearChase.com),4,7340,294,73.5,76.0,0.027425,0.027411067838004427,8,0,360,1502.3496407739367,10.013623978201636,0.05434782608695652,0.11956521739130435,0.09782608695652174,0.7771739130434783,22.608695652173914,False
Major Fitness,"Limitless Body: Calisthenics, Bodyweight & HomeGym",1,400,46,46.0,46.0,0.0,0.0,0,0,18,391.304347826087,115.0,0.03260869565217391,0.021739130434782608,0.5652173913043478,0.2826086956521739,21.304347826086957,False
Major Fitness,Top 20 News,1,55900,727,727.0,727.0,0.0413,0.0165061898211829,10,2,45,61.89821182943604,13.00536672629696,0.18478260869565216,0.15217391304347827,0.13043478260869565,0.2826086956521739,18.26086956521739,False
Major Fitness,Arts3D,1,590,18,18.0,18.0,0.0556,0.0555555555555555,1,0,17,944.4444444444443,30.508474576271187,0.010869565217391304,0.2391304347826087,0.2391304347826087,0.2826086956521739,17.934782608695652,False
Major Fitness,AUTO MT,1,2130,104,104.0,104.0,0.0,0.0,0,0,19,182.69230769230768,48.82629107981221,0.08695652173913043,0.021739130434782608,0.32608695652173914,0.2826086956521739,16.956521739130434,False
Major Fitness,Mainechiropractor,1,244000,42,42.0,42.0,0.0714,0.0714285714285714,3,0,41,976.190476190476,0.1721311475409836,0.021739130434782608,0.3804347826086957,0.010869565217391304,0.2826086956521739,16.086956521739133,False
