Date,Content,Content link,Influencer,Type,Tags,Estimated cost,CPM,Subscribers,Region,Promotion type,Engagement rate,Views,Likes,Comments
03/28/2025,Budget Home Gym Equipment Face Off - M1 2.0 or Buffalo Rack from Ritfit,https://www.youtube.com/watch?v=Y4L4x8_QSuw,Luke’s Garage Gym,"Workout,Home,Travel,Health","fitness,budget,gym,gymequipment,titan",67,27.00,5580,美国,Suspected,0.2719,1725,59,41
03/22/2025,Why Conjugate Training Is the Ultimate Way to Train for Life (The Conjugate REVOLUTION!),https://www.youtube.com/watch?v=T9sw-Uqqs9w,Enkiri Elite Fitness,"Fitness,Health,Sports,Entertainment","fitness,bodybuilding,health,workout,enkirielitefitness",497,27.00,68100,美国,Suspected,0.1232,12268,602,91
03/18/2025,Merach NovaRow R50 REVIEW || Budget Rower That Beats a Concept2!? (My Honest Experience),https://www.youtube.com/watch?v=BGKqPLUTu0w,Enkiri Elite Fitness,"Fitness,Health,Sports,Entertainment","fitness,bodybuilding,health,workout,enkirielitefitness",497,27.00,68100,美国,Suspected,0.0157,10279,81,8
03/08/2025,"RitFit M1 Pro Review, Build & Demo | 10 Reasons It's the New King of All-In-One Budget Home Gyms!",https://www.youtube.com/watch?v=hQnUnk2xiFQ,Challenge Theory,"Health,Fitness,Sports","diet,transformation,fasting,health,lose weight",103,27.00,13200,美国,Suspected,0.0482,29137,613,79
03/08/2025,RITFIT Calls for Real Strength to Accelerate Action on International Women's Day,https://www.youtube.com/watch?v=Clwcq_-x9G0,RitFit.Sports,"Workout,Home,Health","fitness,home,workout,ritfit,homegym",100,27.00,4050,美国,Sponsored,0.0002,110374,8,1
03/07/2025,What I Eat in a Week | Realistic Dinners,https://www.youtube.com/watch?v=Nukdu4K26pE,Mikee Rogers,"Food,VLOG,Fashion,Home","food,vlog,vlogger,lgbt,mukbang",139,27.00,18600,美国,Suspected,0.3201,3202,195,83
03/07/2025,I wanna build a body that's UNSTOPPABLE (Global Carryover: The Key to Unlocking Your Full Potential),https://www.youtube.com/watch?v=81cD1eyVxxk,Enkiri Elite Fitness,"Fitness,Health,Sports,Entertainment","fitness,bodybuilding,health,workout,enkirielitefitness",497,27.00,68100,美国,Suspected,0.1236,22664,1262,154
02/28/2025,Early 40s Diaries | Baby Shower Decor Ideas,https://www.youtube.com/watch?v=HP3SrfK-mqc,Mikee Rogers,"Food,VLOG,Fashion,Home","food,vlog,vlogger,lgbt,mukbang",139,27.00,18600,美国,Suspected,0.3172,2623,152,68
02/25/2025,Stand Back!,https://www.youtube.com/shorts/COVAjCcclJQ,NoFate247,"Fitness,Home,Health,Food","nofate247,5f3b28f9517b0,a_aid,fitness,homegym",107,27.00,26100,美国,Suspected,0.1374,604,23,6
02/22/2025,"How to Train Like an Athlete in 2025: Get Faster, Stronger & More Explosive (The ULTIMATE Guide!)",https://www.youtube.com/watch?v=fuiuaRiZOPA,Enkiri Elite Fitness,"Fitness,Health,Sports,Entertainment","fitness,bodybuilding,health,workout,enkirielitefitness",497,27.00,68100,美国,Suspected,0.0408,28723,611,56
02/22/2025,A few cozy days in my life,https://www.youtube.com/watch?v=7Ps5YhozzKg,Mikee Rogers,"Food,VLOG,Fashion,Home","food,vlog,vlogger,lgbt,mukbang",139,27.00,18600,美国,Suspected,0.471,2998,202,121
02/21/2025,Watch This BEFORE Buying A Smith Machine For Your Home Gym! Ritfit Buffalo Smith Machine Review,https://www.youtube.com/watch?v=HZPAn3p6PPY,Luke’s Garage Gym,"Workout,Home,Travel,Health","fitness,budget,gym,gymequipment,titan",67,27.00,5580,美国,Suspected,0.0666,6055,73,33
02/21/2025,"HOME TOUR of our fully remodeled, average sized house in Colorado 🏡",https://www.youtube.com/watch?v=puBdhYtVT9k,kenzie mac,"Life Style,Home,DIY,Fashion","kenziemac,hobby,home,life style,prettyandpractical",1334,14.00,53900,其他,Suspected,0.0566,79242,2637,185
02/15/2025,DEATH BY PUSH-UPS (Intense Home Gym Calisthenics Workout!),https://www.youtube.com/watch?v=DvXWuLXBZZI,Enkiri Elite Fitness,"Fitness,Health,Sports,Entertainment","fitness,bodybuilding,health,workout,enkirielitefitness",497,27.00,68100,美国,Suspected,0.171,3205,168,38
02/14/2025,Home Decor Updates | Early 40s Diaries,https://www.youtube.com/watch?v=UMTiqpJbac0,Mikee Rogers,"Food,VLOG,Fashion,Home","food,vlog,vlogger,lgbt,mukbang",139,27.00,18600,美国,Suspected,0.2899,3153,204,71
02/14/2025,How To Assemble | RitFit RitFit BUFFALO Multifunctional Smith Machine,https://www.youtube.com/watch?v=14hxeBcleGM,RitFit.Sports,"Workout,Home,Health","fitness,home,workout,ritfit,homegym",100,27.00,4050,美国,Sponsored,0.0838,859,12,6
02/08/2025,The Best FREE Weighted Calisthenics Program (To Get Insanely Jacked & Strong in 2025!),https://www.youtube.com/watch?v=ZoQdp6C3y-w,Enkiri Elite Fitness,"Fitness,Health,Sports,Entertainment","fitness,bodybuilding,health,workout,enkirielitefitness",497,27.00,68100,美国,Suspected,0.0459,21587,480,51
02/07/2025,EXTREME HOME MAKEOVER! pt. 2 - entire house remodel from start to finish,https://www.youtube.com/watch?v=yK6AMYRO_mg,kenzie mac,"Life Style,Home,DIY,Fashion","kenziemac,hobby,home,life style,prettyandpractical",1334,14.00,53900,其他,Suspected,0.0508,53738,1390,134
02/06/2025,How Much I Made in 2024 as a Small Creator (And How To Make it Work),https://www.youtube.com/watch?v=cRbOEES9yIE,Mikee Rogers,"Food,VLOG,Fashion,Home","food,vlog,vlogger,lgbt,mukbang",139,27.00,18600,美国,Suspected,0.275,7443,457,159
02/04/2025,Nuestro GYM En Casa + Entrenando Después De Mucho Tiempo + Mi Bebé Tiene Problemas En La Piel,https://www.youtube.com/watch?v=Z6eaBVmwSxo,Carol Chang,"Haul,VLOG,Beauty,Fitness","vlogs,vlogsdiarios,vlogsdiariosdefamilias,mividadiaria,vlogstodoslosdias",350,27.00,330000,美国,Suspected,0.1841,8484,802,76
02/01/2025,Best value All in One Home Gym Power Rack | RitFit Buffalo Smith Machine Review,https://www.youtube.com/watch?v=IogTsS_hkvg,NoFate247,"Fitness,Home,Health,Food","nofate247,5f3b28f9517b0,a_aid,fitness,homegym",107,27.00,26100,美国,Suspected,0.2076,4567,138,81
02/01/2025,I Built My Dream Garage & Home Gym ONLY $2000,https://www.youtube.com/watch?v=GNt2zbRC-xY,RitFit.Sports,"Workout,Home,Health","fitness,home,workout,ritfit,homegym",100,27.00,4050,美国,Sponsored,0.037,2406,29,6
